ponto_id,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,lat,lon,indoor
1324,-109.088333333333,-107.2,-107.01,-108.43,-106.015714285714,-103.524285714286,-104.68,-102.96,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,1
4312,-106.07,-115.0,-106.67,-104.161666666667,-97.94714285714292,-100.48,-99.23571428571432,-97.1633333333333,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,1
5541,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-92.285,-94.54428571428568,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,1
6172,-103.705,-110.425,-107.381666666667,-110.33,-100.17,-98.47,-100.303333333333,-99.57,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,1
1540,-109.088333333333,-107.2,-107.148571428571,-109.36,-105.567142857143,-104.704285714286,-104.23,-104.29,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,1
2681,-115.0,-115.0,-115.0,-115.0,-96.33,-92.66833333333332,-86.14,-78.2614285714286,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,1
6313,-103.705,-110.425,-107.381666666667,-110.33,-98.065,-105.56,-99.48,-101.46,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,1
1191,-109.088333333333,-107.2,-107.01,-108.43,-103.691428571429,-101.435714285714,-103.065,-102.11,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,1
5293,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-86.655,-88.73571428571432,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,1
1542,-109.088333333333,-107.2,-107.148571428571,-109.36,-105.567142857143,-104.704285714286,-104.23,-104.29,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,1
2539,-115.0,-115.0,-115.0,-115.0,-96.33,-92.66833333333332,-82.4533333333333,-78.9842857142857,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,1
953,-109.088333333333,-107.2,-107.01,-108.43,-97.2,-99.51857142857142,-101.13,-96.545,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,1
4846,-103.436666666667,-115.0,-99.75,-115.0,-102.805,-99.5,-100.31,-99.32,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,1
4330,-106.07,-115.0,-106.67,-104.161666666667,-97.94714285714292,-100.48,-99.23571428571432,-97.1633333333333,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,1
5334,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-86.0933333333333,-86.7842857142857,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,1
4729,-101.28,-115.0,-98.49,-115.0,-99.34,-93.73,-98.74,-98.66,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,1
6541,-103.705,-110.425,-107.381666666667,-110.33,-107.18,-106.59,-107.153333333333,-102.12,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,1
5305,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-86.655,-88.73571428571432,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,1
5161,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-87.315,-88.73571428571432,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,1
2156,-98.748,-106.79,-98.396,-99.37,-89.395,-92.51428571428568,-100.03,-95.44,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,1
1062,-109.088333333333,-107.2,-107.01,-108.43,-99.3342857142857,-100.032857142857,-103.475,-100.79,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,1
1167,-109.088333333333,-107.2,-107.01,-108.43,-102.202857142857,-100.335714285714,-103.065,-102.11,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,1
3636,-107.65,-115.0,-98.56,-115.0,-98.45666666666668,-97.84571428571432,-99.255,-101.098,-115.0,5.0,3.0,3.0,-8.055833999999999,-34.951362,1
5588,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-102.815,-95.27,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,1
4491,-101.196666666667,-115.0,-96.04,-115.0,-96.79,-96.1,-94.42,-92.75,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,1
7266,-89.41,-91.8871428571428,-90.79857142857142,-81.33,-81.13125,-83.73476190476191,-88.3666666666667,-83.163,-96.3725,5.0,3.0,3.0,-8.05533,-34.95095,0
4980,-103.976666666667,-115.0,-104.04,-115.0,-99.675,-100.37,-96.98,-99.5725,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,1
4946,-103.533333333333,-115.0,-102.08,-115.0,-99.675,-100.75,-96.98,-99.5725,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,1
2782,-115.0,-115.0,-115.0,-115.0,-96.33,-90.89,-84.2033333333333,-78.2614285714286,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,1
717,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-95.6871428571429,-93.86,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,1
2502,-115.0,-115.0,-115.0,-115.0,-96.33,-92.66833333333332,-82.4533333333333,-78.9842857142857,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,1
4360,-106.07,-115.0,-106.67,-104.161666666667,-97.94714285714292,-100.48,-99.23571428571432,-97.1633333333333,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,1
4171,-106.07,-115.0,-106.67,-104.161666666667,-97.9471428571428,-98.8966666666667,-98.9657142857143,-100.06,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,1
395,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-91.59857142857142,-93.2883333333333,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,1
4492,-101.196666666667,-115.0,-96.04,-115.0,-96.79,-96.1,-94.42,-91.59,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,1
1365,-109.088333333333,-107.2,-107.148571428571,-109.0225,-105.637142857143,-103.741428571429,-104.68,-102.61,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,1
5917,-103.705,-110.425,-107.381666666667,-110.33,-93.58,-90.51,-96.76,-98.155,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,1
4968,-103.34,-115.0,-102.08,-115.0,-99.675,-101.26,-96.98,-99.5725,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,1
2914,-115.0,-115.0,-115.0,-115.0,-95.58,-94.59,-90.9133333333333,-78.2614285714286,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,1
5644,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-92.6,-98.55,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,1
3766,-106.07,-115.0,-106.67,-104.161666666667,-96.2228571428571,-92.92,-96.1257142857143,-92.5983333333333,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,1
3440,-100.83,-115.0,-98.56,-115.0,-100.406666666667,-97.84571428571432,-99.255,-99.47,-115.0,5.0,3.0,3.0,-8.055833999999999,-34.951362,1
2143,-98.748,-106.79,-98.396,-98.11,-89.395,-92.51428571428568,-100.03,-95.44,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,1
5104,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-87.315,-88.73571428571432,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,1
5073,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-87.315,-88.73571428571432,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,1
1571,-109.088333333333,-107.2,-107.148571428571,-109.02,-105.567142857143,-104.704285714286,-104.23,-104.29,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,1
4079,-106.07,-115.0,-106.67,-104.161666666667,-98.6457142857143,-95.5,-99.9657142857143,-95.05,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,1
